words,file
1412,S08_set1_a10.txt.clean
2738,S08_set1_a1.txt.clean
3632,S08_set1_a2.txt.clean
3548,S08_set1_a3.txt.clean
4619,S08_set1_a4.txt.clean
9529,S08_set1_a5.txt.clean
11249,S08_set1_a6.txt.clean
1143,S08_set1_a7.txt.clean
3316,S08_set1_a8.txt.clean
737,S08_set1_a9.txt.clean
10,S08_set1_topics.txt
5445,S08_set2_a10.txt.clean
3683,S08_set2_a1.txt.clean
7102,S08_set2_a2.txt.clean
2755,S08_set2_a3.txt.clean
10418,S08_set2_a4.txt.clean
2290,S08_set2_a5.txt.clean
8967,S08_set2_a6.txt.clean
9593,S08_set2_a7.txt.clean
5912,S08_set2_a8.txt.clean
3251,S08_set2_a9.txt.clean
10,S08_set2_topics.txt
9216,S08_set3_a10.txt.clean
6706,S08_set3_a1.txt.clean
2233,S08_set3_a2.txt.clean
2442,S08_set3_a3.txt.clean
9717,S08_set3_a4.txt.clean
8807,S08_set3_a5.txt.clean
3407,S08_set3_a6.txt.clean
12140,S08_set3_a7.txt.clean
7798,S08_set3_a8.txt.clean
6010,S08_set3_a9.txt.clean
21,S08_set3_topics.txt
1015,S08_set4_a10.txt.clean
5441,S08_set4_a1.txt.clean
2519,S08_set4_a2.txt.clean
8805,S08_set4_a3.txt.clean
5126,S08_set4_a4.txt.clean
307,S08_set4_a5.txt.clean
1005,S08_set4_a6.txt.clean
3003,S08_set4_a7.txt.clean
1307,S08_set4_a8.txt.clean
434,S08_set4_a9.txt.clean
21,S08_set4_topics.txt
2169,S09_set1_a10.txt.clean
1750,S09_set1_a1.txt.clean
12178,S09_set1_a2.txt.clean
8404,S09_set1_a3.txt.clean
3311,S09_set1_a4.txt.clean
2967,S09_set1_a5.txt.clean
1041,S09_set1_a6.txt.clean
1117,S09_set1_a7.txt.clean
3711,S09_set1_a8.txt.clean
3311,S09_set1_a9.txt.clean
10,S09_set1_topics.txt
2005,S09_set2_a10.txt.clean
5529,S09_set2_a1.txt.clean
7480,S09_set2_a2.txt.clean
3060,S09_set2_a3.txt.clean
1507,S09_set2_a4.txt.clean
3093,S09_set2_a5.txt.clean
1376,S09_set2_a6.txt.clean
8311,S09_set2_a7.txt.clean
854,S09_set2_a8.txt.clean
6567,S09_set2_a9.txt.clean
10,S09_set2_topics.txt
3712,S09_set3_a10.txt.clean
8624,S09_set3_a1.txt.clean
598,S09_set3_a2.txt.clean
4542,S09_set3_a3.txt.clean
6584,S09_set3_a4.txt.clean
4982,S09_set3_a5.txt.clean
937,S09_set3_a6.txt.clean
7942,S09_set3_a7.txt.clean
9224,S09_set3_a8.txt.clean
3222,S09_set3_a9.txt.clean
10,S09_set3_topics.txt
1015,S09_set4_a10.txt.clean
5441,S09_set4_a1.txt.clean
2519,S09_set4_a2.txt.clean
8805,S09_set4_a3.txt.clean
5126,S09_set4_a4.txt.clean
307,S09_set4_a5.txt.clean
1005,S09_set4_a6.txt.clean
3003,S09_set4_a7.txt.clean
1307,S09_set4_a8.txt.clean
434,S09_set4_a9.txt.clean
21,S09_set4_topics.txt
5136,S09_set5_a10.txt.clean
6363,S09_set5_a1.txt.clean
8116,S09_set5_a2.txt.clean
5158,S09_set5_a3.txt.clean
4782,S09_set5_a4.txt.clean
4499,S09_set5_a5.txt.clean
5961,S09_set5_a6.txt.clean
6749,S09_set5_a7.txt.clean
5483,S09_set5_a8.txt.clean
5192,S09_set5_a9.txt.clean
10,S09_set5_topics.txt
3853,S10_set1_a10.txt.clean
7513,S10_set1_a1.txt.clean
5517,S10_set1_a2.txt.clean
2479,S10_set1_a3.txt.clean
4865,S10_set1_a4.txt.clean
2210,S10_set1_a5.txt.clean
5665,S10_set1_a6.txt.clean
1694,S10_set1_a7.txt.clean
1111,S10_set1_a8.txt.clean
2470,S10_set1_a9.txt.clean
10,S10_set1_topics.txt
2005,S10_set2_a10.txt.clean
5529,S10_set2_a1.txt.clean
7480,S10_set2_a2.txt.clean
3060,S10_set2_a3.txt.clean
1507,S10_set2_a4.txt.clean
3093,S10_set2_a5.txt.clean
1376,S10_set2_a6.txt.clean
8311,S10_set2_a7.txt.clean
854,S10_set2_a8.txt.clean
6567,S10_set2_a9.txt.clean
10,S10_set2_topics.txt
8531,S10_set3_a10.txt.clean
8366,S10_set3_a1.txt.clean
9238,S10_set3_a2.txt.clean
6520,S10_set3_a3.txt.clean
4464,S10_set3_a4.txt.clean
4813,S10_set3_a5.txt.clean
5094,S10_set3_a6.txt.clean
6822,S10_set3_a7.txt.clean
8278,S10_set3_a8.txt.clean
6110,S10_set3_a9.txt.clean
10,S10_set3_topics.txt
1049,S10_set4_a10.txt.clean
8572,S10_set4_a1.txt.clean
2370,S10_set4_a2.txt.clean
10063,S10_set4_a3.txt.clean
5516,S10_set4_a4.txt.clean
941,S10_set4_a5.txt.clean
998,S10_set4_a6.txt.clean
4374,S10_set4_a7.txt.clean
1144,S10_set4_a8.txt.clean
561,S10_set4_a9.txt.clean
10,S10_set4_topics.txt
5194,S10_set5_a10.txt.clean
5575,S10_set5_a1.txt.clean
2845,S10_set5_a2.txt.clean
5102,S10_set5_a3.txt.clean
4993,S10_set5_a4.txt.clean
7148,S10_set5_a5.txt.clean
4084,S10_set5_a6.txt.clean
6367,S10_set5_a7.txt.clean
5024,S10_set5_a8.txt.clean
6576,S10_set5_a9.txt.clean
10,S10_set5_topics.txt
2698,S10_set6_a10.txt.clean
4790,S10_set6_a1.txt.clean
4660,S10_set6_a2.txt.clean
7934,S10_set6_a3.txt.clean
2482,S10_set6_a4.txt.clean
2229,S10_set6_a5.txt.clean
3964,S10_set6_a6.txt.clean
9390,S10_set6_a7.txt.clean
5980,S10_set6_a8.txt.clean
2925,S10_set6_a9.txt.clean
10,S10_set6_topics.txt
